"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000148459",73.3193467010995,-1.10562546367729,0.215315040369953,-5.13491979834578,2.82264368384384e-07,9.46681180722968e-07,"PDSS1","23590","decaprenyl diphosphate synthase subunit 1"
"ENSG00000189337",242.360447435594,-0.61680009817532,0.120164471533223,-5.1329655954488,2.85212058398828e-07,9.56349038547998e-07,"KAZN","23254","kazrin, periplakin interacting protein"
"ENSG00000204713",1088.34920847489,0.340264213448806,0.066293964450428,5.13265749408066,2.85679498387824e-07,9.57697816366303e-07,"TRIM27","5987","tripartite motif containing 27"
"ENSG00000120699",227.813049950993,-0.628919951051696,0.122568869542818,-5.13115567923216,2.87968608752506e-07,9.65151463055971e-07,"EXOSC8","11340","exosome component 8"
"ENSG00000142507",1325.33893519304,-0.296100282925453,0.057715486558544,-5.13034370116765,2.89213616503926e-07,9.69103108221412e-07,"PSMB6","5694","proteasome 20S subunit beta 6"
"ENSG00000175745",1903.62823890745,0.274278082201128,0.0534630365905761,5.13023763131096,2.89376637003903e-07,9.69428232060967e-07,"NR2F1","7025","nuclear receptor subfamily 2 group F member 1"
"ENSG00000162643",78.5600257672612,1.08928922784113,0.212463884950261,5.12693829398885,2.94491983166849e-07,9.86339998340405e-07,"DNAI3","126820","dynein axonemal intermediate chain 3"
"ENSG00000131386",222.731309004722,-0.64983680808735,0.126750711686513,-5.12688883116147,2.94569331520636e-07,9.86374169144777e-07,"GALNT15","117248","polypeptide N-acetylgalactosaminyltransferase 15"
"ENSG00000100225",1372.35309159172,0.301166266488195,0.0587522334744072,5.12603944868555,2.95900632952327e-07,9.90606266652162e-07,"FBXO7","25793","F-box protein 7"
"ENSG00000267680",88.6767714656998,1.03468361383937,0.201958751466498,5.12324227757474,3.00326047874292e-07,1.00519244549404e-06,"ZNF224","7767","zinc finger protein 224"
"ENSG00000188554",3027.89066995673,0.233132704574696,0.0455100337610636,5.12266604324416,3.01245616147486e-07,1.00804056975093e-06,"NBR1","4077","NBR1 autophagy cargo receptor"
"ENSG00000226742",210.658161082588,0.660849097675821,0.129049909172821,5.12087999063081,3.04113146289024e-07,1.01740426303479e-06,"HSBP1L1","440498","heat shock factor binding protein 1 like 1"
"ENSG00000177200",1401.30858916199,0.307151825929344,0.0599831245654245,5.12063731515568,3.04504792823049e-07,1.01848256069458e-06,"CHD9","80205","chromodomain helicase DNA binding protein 9"
